country,date,total_cases,new_cases,total_deaths,new_deaths
Namibia,2020-03-15,2,2,0,0
Namibia,2020-03-16,2,0,0,0
Namibia,2020-03-17,2,0,0,0
Namibia,2020-03-18,2,0,0,0
Namibia,2020-03-19,2,0,0,0
Namibia,2020-03-20,2,0,0,0
Namibia,2020-03-21,3,1,0,0
Namibia,2020-03-22,3,0,0,0
Namibia,2020-03-23,3,0,0,0
Namibia,2020-03-24,3,0,0,0
Namibia,2020-03-25,3,0,0,0
Namibia,2020-03-26,4,1,0,0
Namibia,2020-03-27,8,4,0,0
Namibia,2020-03-28,8,0,0,0
Namibia,2020-03-29,8,0,0,0
Namibia,2020-03-30,11,3,0,0
Namibia,2020-03-31,11,0,0,0
Namibia,2020-04-01,11,0,0,0
Namibia,2020-04-02,13,2,0,0
Namibia,2020-04-03,13,0,0,0
Namibia,2020-04-04,14,1,0,0
Namibia,2020-04-05,14,0,0,0
Namibia,2020-04-06,16,2,0,0
Namibia,2020-04-07,16,0,0,0
Namibia,2020-04-08,16,0,0,0
Namibia,2020-04-09,16,0,0,0
Namibia,2020-04-10,16,0,0,0
Namibia,2020-04-11,16,0,0,0
Namibia,2020-04-12,16,0,0,0
Namibia,2020-04-13,16,0,0,0
Namibia,2020-04-14,16,0,0,0
Namibia,2020-04-15,16,0,0,0
Namibia,2020-04-16,16,0,0,0
Namibia,2020-04-17,16,0,0,0
Namibia,2020-04-18,16,0,0,0
Namibia,2020-04-19,16,0,0,0
Namibia,2020-04-20,16,0,0,0
Namibia,2020-04-21,16,0,0,0
Namibia,2020-04-22,16,0,0,0
Namibia,2020-04-23,16,0,0,0
Namibia,2020-04-24,16,0,0,0
Namibia,2020-04-25,16,0,0,0
Namibia,2020-04-26,16,0,0,0
Namibia,2020-04-27,16,0,0,0
Namibia,2020-04-28,16,0,0,0
Namibia,2020-04-29,16,0,0,0
Namibia,2020-04-30,16,0,0,0
Namibia,2020-05-01,16,0,0,0
Namibia,2020-05-02,16,0,0,0
Namibia,2020-05-03,16,0,0,0
Namibia,2020-05-04,16,0,0,0
Namibia,2020-05-05,16,0,0,0
Namibia,2020-05-06,16,0,0,0
Namibia,2020-05-07,16,0,0,0
Namibia,2020-05-08,16,0,0,0
Namibia,2020-05-09,16,0,0,0
Namibia,2020-05-10,16,0,0,0
Namibia,2020-05-11,16,0,0,0
Namibia,2020-05-12,16,0,0,0
Namibia,2020-05-13,16,0,0,0
Namibia,2020-05-14,16,0,0,0
Namibia,2020-05-15,16,0,0,0
Namibia,2020-05-16,16,0,0,0
Namibia,2020-05-17,16,0,0,0
Namibia,2020-05-18,16,0,0,0
Namibia,2020-05-19,16,0,0,0
Namibia,2020-05-20,16,0,0,0
Namibia,2020-05-21,16,0,0,0
Namibia,2020-05-22,18,2,0,0
Namibia,2020-05-23,19,1,0,0
Namibia,2020-05-24,20,1,0,0
Namibia,2020-05-25,21,1,0,0
Namibia,2020-05-26,21,0,0,0
Namibia,2020-05-27,21,0,0,0
Namibia,2020-05-28,22,1,0,0
Namibia,2020-05-29,22,0,0,0
Namibia,2020-05-30,23,1,0,0
Namibia,2020-05-31,23,0,0,0
Namibia,2020-06-01,24,1,0,0
Namibia,2020-06-02,25,1,0,0
Namibia,2020-06-03,25,0,0,0
Namibia,2020-06-04,25,0,0,0
Namibia,2020-06-05,25,0,0,0
Namibia,2020-06-06,25,0,0,0
Namibia,2020-06-07,29,4,0,0
Namibia,2020-06-08,29,0,0,0
Namibia,2020-06-09,31,2,0,0
Namibia,2020-06-10,31,0,0,0
Namibia,2020-06-11,31,0,0,0
Namibia,2020-06-12,31,0,0,0
Namibia,2020-06-13,31,0,0,0
Namibia,2020-06-14,32,1,0,0
Namibia,2020-06-15,32,0,0,0
Namibia,2020-06-16,32,0,0,0
Namibia,2020-06-17,34,2,0,0
Namibia,2020-06-18,36,2,0,0
Namibia,2020-06-19,39,3,0,0
Namibia,2020-06-20,45,6,0,0
Namibia,2020-06-21,46,1,0,0
Namibia,2020-06-22,55,9,0,0
Namibia,2020-06-23,63,8,0,0
Namibia,2020-06-24,72,9,0,0
Namibia,2020-06-25,76,4,0,0
Namibia,2020-06-26,81,5,0,0
Namibia,2020-06-27,121,40,0,0
Namibia,2020-06-28,121,0,0,0
Namibia,2020-06-29,183,62,0,0
Namibia,2020-06-30,196,13,0,0
Namibia,2020-07-01,203,7,0,0
Namibia,2020-07-02,285,82,0,0
Namibia,2020-07-03,293,8,0,0
Namibia,2020-07-04,350,57,0,0
Namibia,2020-07-05,375,25,0,0
Namibia,2020-07-06,412,37,0,0
Namibia,2020-07-07,485,73,0,0
Namibia,2020-07-08,539,54,0,0
Namibia,2020-07-09,593,54,0,0
