country,date,total_cases,new_cases,total_deaths,new_deaths
Botswana,2020-04-01,3,3,0,0
Botswana,2020-04-02,4,1,1,1
Botswana,2020-04-03,4,0,1,0
Botswana,2020-04-04,4,0,1,0
Botswana,2020-04-05,4,0,1,0
Botswana,2020-04-06,6,2,1,0
Botswana,2020-04-07,6,0,1,0
Botswana,2020-04-08,6,0,1,0
Botswana,2020-04-09,7,1,1,0
Botswana,2020-04-10,13,6,1,0
Botswana,2020-04-11,13,0,1,0
Botswana,2020-04-12,13,0,1,0
Botswana,2020-04-13,13,0,1,0
Botswana,2020-04-14,13,0,1,0
Botswana,2020-04-15,13,0,1,0
Botswana,2020-04-16,13,0,1,0
Botswana,2020-04-17,15,2,1,0
Botswana,2020-04-18,15,0,1,0
Botswana,2020-04-19,15,0,1,0
Botswana,2020-04-20,20,5,1,0
Botswana,2020-04-21,20,0,1,0
Botswana,2020-04-22,20,0,1,0
Botswana,2020-04-23,22,2,1,0
Botswana,2020-04-24,22,0,1,0
Botswana,2020-04-25,22,0,1,0
Botswana,2020-04-26,22,0,1,0
Botswana,2020-04-27,22,0,1,0
Botswana,2020-04-28,22,0,1,0
Botswana,2020-04-29,23,1,1,0
Botswana,2020-04-30,23,0,1,0
Botswana,2020-05-01,23,0,1,0
Botswana,2020-05-02,23,0,1,0
Botswana,2020-05-03,23,0,1,0
Botswana,2020-05-04,23,0,1,0
Botswana,2020-05-05,23,0,1,0
Botswana,2020-05-06,23,0,1,0
Botswana,2020-05-07,23,0,1,0
Botswana,2020-05-08,23,0,1,0
Botswana,2020-05-09,23,0,1,0
Botswana,2020-05-10,23,0,1,0
Botswana,2020-05-11,23,0,1,0
Botswana,2020-05-12,24,1,1,0
Botswana,2020-05-13,24,0,1,0
Botswana,2020-05-14,24,0,1,0
Botswana,2020-05-15,24,0,1,0
Botswana,2020-05-16,24,0,1,0
Botswana,2020-05-17,24,0,1,0
Botswana,2020-05-18,25,1,1,0
Botswana,2020-05-19,25,0,1,0
Botswana,2020-05-20,25,0,1,0
Botswana,2020-05-21,29,4,1,0
Botswana,2020-05-22,29,0,1,0
Botswana,2020-05-23,30,1,1,0
Botswana,2020-05-24,30,0,1,0
Botswana,2020-05-25,35,5,1,0
Botswana,2020-05-26,35,0,1,0
Botswana,2020-05-27,35,0,1,0
Botswana,2020-05-28,35,0,1,0
Botswana,2020-05-29,35,0,1,0
Botswana,2020-05-30,35,0,1,0
Botswana,2020-05-31,35,0,1,0
Botswana,2020-06-01,38,3,1,0
Botswana,2020-06-02,38,0,1,0
Botswana,2020-06-03,38,0,1,0
Botswana,2020-06-04,40,2,1,0
Botswana,2020-06-05,40,0,1,0
Botswana,2020-06-06,40,0,1,0
Botswana,2020-06-07,40,0,1,0
Botswana,2020-06-08,40,0,1,0
Botswana,2020-06-09,42,2,1,0
Botswana,2020-06-10,42,0,1,0
Botswana,2020-06-11,48,6,1,0
Botswana,2020-06-12,48,0,1,0
Botswana,2020-06-13,60,12,1,0
Botswana,2020-06-14,60,0,1,0
Botswana,2020-06-15,60,0,1,0
Botswana,2020-06-16,60,0,1,0
Botswana,2020-06-17,60,0,1,0
Botswana,2020-06-18,60,0,1,0
Botswana,2020-06-19,79,19,1,0
Botswana,2020-06-20,89,10,1,0
Botswana,2020-06-21,89,0,1,0
Botswana,2020-06-22,89,0,1,0
Botswana,2020-06-23,89,0,1,0
Botswana,2020-06-24,89,0,1,0
Botswana,2020-06-25,89,0,1,0
Botswana,2020-06-26,89,0,1,0
Botswana,2020-06-27,125,36,1,0
Botswana,2020-06-28,125,0,1,0
Botswana,2020-06-29,125,0,1,0
Botswana,2020-06-30,175,50,1,0
Botswana,2020-07-01,227,52,1,0
Botswana,2020-07-02,227,0,1,0
Botswana,2020-07-03,227,0,1,0
Botswana,2020-07-04,275,48,1,0
Botswana,2020-07-05,275,0,1,0
Botswana,2020-07-06,275,0,1,0
Botswana,2020-07-07,275,0,1,0
Botswana,2020-07-08,314,39,1,0
Botswana,2020-07-09,314,0,1,0
